iter	Logloss
0	0.6655016034
1	0.6400047353
2	0.6208085363
3	0.6068511138
4	0.5972643129
5	0.5877828289
6	0.5760947249
7	0.5638895065
8	0.5551963877
9	0.5446277374
10	0.5308906671
11	0.5257559649
12	0.5183687697
13	0.5088103802
14	0.5018879334
15	0.4939979299
16	0.4876215262
17	0.4835365317
18	0.4770571599
19	0.4732942819
20	0.4709182329
21	0.4643590527
22	0.4615643568
23	0.455851566
24	0.4517614038
25	0.4458031599
26	0.4383625813
27	0.4361324495
28	0.432239642
29	0.4288677003
30	0.4251835349
31	0.4202112576
32	0.4182613598
33	0.4168858664
34	0.4142701835
35	0.4104514472
36	0.4072144513
37	0.4055115634
38	0.4038063617
39	0.3994698812
40	0.3971999395
41	0.3936476322
42	0.3923240935
43	0.390032385
44	0.3894428835
45	0.387516727
46	0.3835418455
47	0.3791763944
48	0.3764907791
49	0.374056605
50	0.3714814548
51	0.3669751743
52	0.364931198
53	0.362134937
54	0.3585150936
55	0.3557126081
56	0.3521184096
57	0.3500019591
58	0.3469361227
59	0.3441952481
60	0.3417558227
61	0.3388973957
62	0.3373947455
63	0.3363214666
64	0.3335382138
65	0.3301779951
66	0.3287226674
67	0.3265463256
68	0.3247996814
69	0.3230362021
70	0.3208451695
71	0.3188587589
72	0.3157725156
73	0.314831772
74	0.312660733
75	0.3102447836
76	0.3087954262
77	0.3051994037
78	0.3041690484
79	0.3014703983
80	0.2994787285
81	0.2966481686
82	0.293187174
83	0.290181382
84	0.2877855251
85	0.2854903606
86	0.2835644067
87	0.2820100811
88	0.2802271909
89	0.2787720817
90	0.275872399
91	0.2745121671
92	0.2716610952
93	0.2694071575
94	0.2676469027
95	0.2639105127
96	0.2623004639
97	0.2593817458
98	0.2572274949
99	0.2555828759
100	0.2532797865
101	0.2524516782
102	0.2508473283
103	0.2488122026
104	0.2459360359
105	0.2437162336
106	0.2421000442
107	0.241101502
108	0.2391378331
109	0.2372873043
110	0.2359278255
111	0.2346107599
112	0.2335598457
113	0.2322221598
114	0.2300057664
115	0.2291414182
116	0.2280397745
117	0.2252206502
118	0.2225090888
119	0.2211204212
120	0.2201983686
121	0.2190326252
122	0.2180747447
123	0.2167503974
124	0.2155500161
125	0.2137564172
126	0.2113540578
127	0.2096912388
128	0.2085600857
129	0.2072455457
130	0.2059320539
131	0.2052865037
132	0.2044420847
133	0.2029122624
134	0.2016733083
135	0.2008715393
136	0.1992066942
137	0.1975268968
138	0.196922631
139	0.1960898463
140	0.1951112199
141	0.1936989391
142	0.1934039403
143	0.1925591185
144	0.1912677661
145	0.1905730064
146	0.1899516845
147	0.18828319
148	0.1871694321
149	0.1864801092
150	0.1851465835
151	0.1848316544
152	0.1834994127
153	0.1822953289
154	0.1811509694
155	0.1800231283
156	0.1796282073
157	0.1791410312
158	0.1785963534
159	0.1774509289
160	0.1771283733
161	0.1760700025
162	0.1751217102
163	0.1747657489
164	0.1735087145
165	0.1733382291
166	0.1728572882
167	0.1727312228
168	0.1719674779
169	0.1707177029
170	0.1701698751
171	0.1687486117
172	0.1678289361
173	0.1671270678
174	0.1663648097
175	0.1652840665
176	0.1647755723
177	0.1645282044
178	0.1641065741
179	0.1630207933
180	0.162520368
181	0.1622368064
182	0.1613386177
183	0.1604924346
184	0.1597867015
185	0.1592091006
186	0.1587071175
187	0.1581701161
188	0.1578927571
189	0.1570294894
190	0.1567081307
191	0.1563111253
192	0.1560714265
193	0.1556786745
194	0.1550870795
195	0.1547071308
196	0.1541201832
197	0.1537020165
198	0.1533729275
199	0.1525550014
200	0.1521542383
201	0.1515119949
202	0.1514695567
203	0.1511423773
204	0.1506036453
205	0.1498348588
206	0.1494930111
207	0.149040736
208	0.1486047775
209	0.1480098802
210	0.1472536303
211	0.1465606242
212	0.1459782345
213	0.1458821039
214	0.1453530132
215	0.1447442453
216	0.1447173702
217	0.1445071475
218	0.1442663122
219	0.1441935794
220	0.1441226401
221	0.1434684988
222	0.1427522905
223	0.1424389495
224	0.1417182752
225	0.141232257
226	0.1407312037
227	0.1403370951
228	0.1397837856
229	0.1393993369
230	0.1392746595
231	0.1391439081
232	0.1387275292
233	0.1384359674
234	0.1378325315
235	0.137057702
236	0.136879093
237	0.1365059651
238	0.1362587522
239	0.1360111118
240	0.1356308272
241	0.1355409804
242	0.1349815534
243	0.134607762
244	0.1341299414
245	0.1336637427
246	0.1333081418
247	0.1330680914
248	0.1328465506
249	0.1326650298
250	0.1325267594
251	0.1321410528
252	0.131521916
253	0.1309601741
254	0.1305180018
255	0.1302942807
256	0.129812781
257	0.1291533336
258	0.1288781373
259	0.1287170701
260	0.1284250527
261	0.1280330174
262	0.1277302587
263	0.1276278278
264	0.1273922806
265	0.1271602129
266	0.1268656921
267	0.1266193981
268	0.1260857748
269	0.1260193233
270	0.1259432777
271	0.1253857705
272	0.1249776116
273	0.1245830658
274	0.1243250441
275	0.1240945821
276	0.1238781877
277	0.1236082117
278	0.1234882011
279	0.1234246116
280	0.1233463158
281	0.1229645719
282	0.1226258848
283	0.1223938693
284	0.1222369633
285	0.1218547208
286	0.1216672696
287	0.1211696055
288	0.1209312756
289	0.1205577259
290	0.1202870829
291	0.1200530642
292	0.1197158944
293	0.1196359905
294	0.1194749672
295	0.1191640675
296	0.1188342388
297	0.1186714001
298	0.1184648295
299	0.1182939801
300	0.1181024329
301	0.1180830677
302	0.1177492094
303	0.1174694019
304	0.1172052478
305	0.1170991692
306	0.1169968908
307	0.1169391017
308	0.1167458828
309	0.1166342108
310	0.1161970392
311	0.115882492
312	0.1156716193
313	0.1155017119
314	0.1153317945
315	0.1151345934
316	0.1149366355
317	0.1149031142
318	0.1147729111
319	0.1145824005
320	0.1143979347
321	0.1142059246
322	0.11394959
323	0.1139328277
324	0.113663347
325	0.1133591126
326	0.1132318998
327	0.1129221729
328	0.1129120879
329	0.112897469
330	0.1128288796
331	0.1126051507
332	0.1123807418
333	0.1121262194
334	0.1118271572
335	0.1116315658
336	0.1114374628
337	0.1111718895
338	0.1109505376
339	0.1107753579
340	0.110519189
341	0.1103066156
342	0.1102175667
343	0.1099730476
344	0.1099621864
345	0.1098137585
346	0.1096963435
347	0.1095053727
348	0.1093369973
349	0.1091437967
